Codice Analisi,Descrizione,Colore provetta,Synlab si/no,U.M.,METODO,Regola,,Importo
850,1 Beta Interleukin (SYNLAB),VIOLA,SÍ,ng/L,LIA,Area 'SPECIALISTICA GRUPPO',,"€ 112,26"
853,1 METILISTIDINA Plasmatica (SYNLAB),VIOLA,SÍ,manca sul portale,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
854,1 METILISTIDINA Urine (SYNLAB),URINE,SÍ,manca sul portale,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 67,27"
2225,"1,2 CICLOESANDIOLO PER CICLOESANO Urine Fine Turno",URINE F.T.,SÍ,mg/g,GC ,Area 'TOSSICOLOGIA',,"€ 20,21"
2224,"
1,2 CICLOESANDIOLO PER CICLOESANO Urine Inizio Turno",URINE I.T.,SÍ,mg/g,GC ,Area 'TOSSICOLOGIA',,"€ 20,21"
1192,"
1,2 CICLOESANDIOLO PER CICLOESANONE Urine Fine Turno",URINE F.T.,SÍ,mg/L,GC ,Area 'TOSSICOLOGIA',,"€ 20,21"
1191,"
1,2 CICLOESANDIOLO PER CICLOESANONE Urine Inizio Turno",URINE I.T.,SÍ,mg/L,GC ,Area 'TOSSICOLOGIA',,"€ 20,21"
361,11 Deossicortisolo (SYNLAB),GIALLA CONG.,SÍ,microgr/L,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 50,35"
6212,11-Deossicorticosterone (DOC) (SYNLAB),GIALLA,SÍ,ng/L,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 127,55"
619,17 Beta Estradiolo,GIALLA,NO,pg/mL,CHEMILUMINESCENZA,Area 'ANALISI',,"€ 10,70"
383,17 Idrossi-pregnenolone (SYNLAB),GIALLA,SÍ,ng/L,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 54,93"
6200,17 OH Progesterone,GIALLA,NO,ng/mL,CHEMILUMINESCENZA,Area 'ANALISI',,"€ 11,25"
7380,1-IDROSSIPIRENE Urine Fine Turno,URINE F.T.,SÍ,µg/L,LC-MS,Area 'TOSSICOLOGIA',,"€ 31,13"
